country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CO2,169.8931185,151.2855822,91.09526071,72.93804418,63.06015913,39.52896471,39.55487613,32.75951664,14.12652628,23.45767089,32.91440157,56.24630577,43.60587676,57.7417199,44.10278289,69.11853637,61.62587231,74.07551715,60.04879274,48.71854272,31.25658055,7.181093593,-8.88081482,-15.85470609,-13.66605175,-21.48748649,-42.7040917,-48.33212261,-39.81892358
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",N2O,4.299136998,4.032322969,3.704437843,3.5618285,3.532203817,3.547794796,3.885676892,3.759739374,3.650227678,4.087694753,4.324344744,4.269957613,4.327959986,4.588532659,4.020856215,4.26513742,4.331824753,4.532945953,4.413189925,4.48595852,4.69678652,4.985845248,4.600227673,4.30422831,4.525430435,4.127593202,3.756371194,3.818478202,3.449959509
AUS,UNFCCC_AI,Other,Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Other,Aggregate GHGs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Other,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Other,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Other,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Total GHG emissions with LULUCF,Aggregate F-gases,6.252256133,6.274768899,6.194578713,5.422268921,3.487378651,2.851082725,2.113663519,2.200152275,2.899015795,2.724887761,3.113441822,4.327785769,4.878616746,5.491995901,6.211649847,6.990678884,6.039834201,6.823990334,7.466804859,8.614618235,9.098271143,9.581912193,9.498247618,10.19354566,11.12655661,12.13758705,12.39069352,12.07855608,12.44661808
AUS,UNFCCC_AI,Total GHG emissions with LULUCF,Aggregate GHGs,617.6510089,600.1676169,541.6530642,523.7980854,513.3928516,497.9421136,506.9019074,512.1691474,506.3341938,523.3908251,545.3769602,575.9476868,567.3925663,582.7243519,586.6756876,617.2156062,614.8514911,634.6033008,623.3569478,616.191519,593.5375535,573.0289195,555.3333511,540.6280014,539.7395254,538.821138,526.1483561,529.4865192,537.4463923
AUS,UNFCCC_AI,Total GHG emissions with LULUCF,CH4,142.8435519,143.1433707,140.3783929,136.803572,132.9820979,131.0187357,132.1352641,135.0073296,133.0814881,130.6691541,135.463557,133.7482883,132.1582265,126.1561967,128.4373211,129.533836,129.4499372,130.1713927,127.5795573,127.0900915,123.2717622,126.6289888,122.7882546,124.390134,123.540035,122.9310563,122.1074603,125.5585948,125.3003468
AUS,UNFCCC_AI,Total GHG emissions with LULUCF,CO2,448.3177789,431.1582424,376.0076986,362.1732304,357.0751199,344.9391313,351.9164617,353.5546028,348.8110442,367.5214368,383.1094254,413.9154886,405.8154228,427.467738,427.3079052,455.6319907,454.3065186,473.9179778,464.4662002,456.1818707,436.7593794,411.3538506,397.625427,382.0884725,380.4508398,380.0672707,368.3274394,366.7653051,376.1350231
AUS,UNFCCC_AI,Total GHG emissions with LULUCF,N2O,20.23742207,19.59123487,19.07239406,19.39901411,19.84825511,19.13316382,20.7365181,21.40706272,21.54264569,22.47534646,23.69053599,23.95612409,24.54030027,23.60842129,24.71881149,25.05910064,25.05520109,23.68994001,23.84438546,24.30493864,24.40814071,25.46416791,25.42142193,23.95584922,24.62209404,23.68522382,23.3227629,25.0840632,23.56440436
AUS,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate F-gases,6.252256133,6.274768899,6.194578713,5.422268921,3.487378651,2.851082725,2.113663519,2.200152275,2.899015795,2.724887761,3.113441822,4.327785769,4.878616746,5.491995901,6.211649847,6.990678884,6.039834201,6.823990334,7.466804859,8.614618235,9.098271143,9.581912193,9.498247618,10.19354566,11.12655661,12.13758705,12.39069352,12.07855608,12.44661808
AUS,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,424.9983809,426.0152102,430.2163804,430.612556,430.6533325,439.0049005,446.6818497,458.8416025,472.6296694,478.1998407,489.373842,496.9823098,500.807889,502.3017754,520.3151821,526.2069728,530.787988,536.888602,540.6690004,544.2854619,540.5714099,542.5119179,544.7327562,535.0068138,530.4110177,538.6187762,548.8625465,556.6122651,558.0472195
AUS,UNFCCC_AI,Total GHG emissions without LULUCF,CH4,124.3831794,124.3088692,123.7414077,120.1179153,116.8349417,115.1582821,115.3557595,118.1990407,117.1537177,113.0235353,116.6991851,115.2991746,113.507386,108.0638728,110.2004547,111.9088764,111.3441311,111.065157,109.3535926,108.3885356,106.2589856,108.2789261,107.9070726,107.2184687,105.070906,105.3688012,105.8739302,108.1706963,109.5322099
AUS,UNFCCC_AI,Total GHG emissions without LULUCF,CO2,278.4246604,279.8726602,284.9124379,289.2351862,294.0149608,305.4101666,312.3615856,320.7950862,334.6845179,344.0637659,350.1950238,357.6691828,362.209546,369.7260181,383.2051223,386.5134543,392.6806463,399.8424607,404.4174075,407.463328,405.5027989,404.172757,406.5062418,397.9431786,394.1168916,401.5547572,411.0315311,415.0974277,415.9539467
AUS,UNFCCC_AI,Total GHG emissions without LULUCF,N2O,15.93828507,15.5589119,15.36795622,15.83718561,16.31605129,15.58536902,16.85084121,17.64732335,17.89241801,18.38765171,19.36619125,19.68616648,20.21234028,19.01988863,20.69795528,20.79396322,20.72337634,19.15699406,19.43119554,19.81898012,19.71135419,20.47832266,20.82119426,19.65162091,20.09666361,19.55763062,19.56639171,21.265585,20.11444485
AUS,UNFCCC_AI,Waste,Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Waste,Aggregate GHGs,20.02600801,20.00484175,19.75405397,19.59347001,18.90165325,18.8544348,17.23550104,16.96765118,16.14552655,16.23464295,15.66181661,15.87361985,15.98821052,14.90993597,14.51950186,14.38893009,14.17702949,14.51629984,14.99182602,14.90272263,15.22154345,14.58160456,13.08333734,12.46974137,12.55412388,12.06209296,12.58873453,12.65437911,12.69119434
AUS,UNFCCC_AI,Waste,CH4,19.64041388,19.60991562,19.35025871,19.18104276,18.48834872,18.43360542,16.82720868,16.57264085,15.73964016,15.82065551,15.24128641,15.44514084,15.55139823,14.4624129,14.06304134,13.92426653,13.70102457,14.0292901,14.47663978,14.39925399,14.72303033,14.06830793,12.52464103,11.92006788,11.95084835,11.41041846,11.88882175,11.95095091,12.01190289
AUS,UNFCCC_AI,Waste,CO2,0.073360449,0.07350048,0.073632308,0.073758899,0.073892974,0.079576857,0.058116766,0.027968116,0.028084577,0.028782574,0.027662788,0.027805547,0.027956587,0.028114945,0.028264527,0.02842834,0.028704071,0.029047905,0.029492884,0.029909184,0.029705566,0.029812376,0.029959212,0.030387964,0.030785159,0.030482558,0.030625409,0.030745474,0.030704683
