Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,ARG,Total fossil fuels and cement,GCP,CO2,48.7645,51.1267,53.6401,50.0327,55.67,58.8048,63.0727,65.476,69.0092,77.2489,82.648,88.8472,90.0668,93.9761,95.4806,94.8458,99.6995,100.7063,102.5561,110.6168,108.6569,101.9693,103.3518,105.1428,106.4525,100.5319,104.151,114.8783,121.4059,117.0213,112.0791,117.5057,121.2306,117.7775,122.229,127.7649,134.7621,137.6415,139.4519,147.2851,142.3583,134.0039,124.3923,134.631,157.0434,161.4342,174.609,174.2458,188.106,178.9492,186.7331,190.2738,191.7148,190.1517,188.6974,192.3657,190.9296,187.4159,185.0299,178.9395
Argentina,ARG,Oil,GCP,CO2,41.1907,42.1213,45.0782,40.6448,45.2071,47.3242,48.57,49.7773,52.5601,60.5732,63.9258,69.3192,69.2972,71.2098,71.4517,68.9125,71.8683,72.7021,72.8989,79.0728,76.508,70.0593,69.0322,68.6744,67.2367,60.4355,62.2001,66.454,66.2325,59.7525,59.1883,61.2328,63.6327,67.1543,67.2031,62.8357,65.9209,66.868,69.5757,72.7249,67.434,64.3362,57.4972,59.3568,67.8117,71.7997,81.9124,77.9516,88.6578,82.3814,90.1454,86.9081,85.5874,87.5056,84.3323,86.9137,84.5102,80.8592,77.2596,76.1078
Argentina,ARG,Coal,GCP,CO2,3.9058,3.5394,2.0079,2.3047,2.5573,2.6014,2.5868,2.9389,2.3669,2.5904,3.2866,2.9275,2.8579,2.8799,3.3672,3.5944,3.2391,2.7039,3.8325,3.6017,2.8652,2.9568,2.6602,2.1911,2.1472,2.7735,3.3929,3.7776,4.0232,4.144,3.0704,2.6894,2.803,2.3011,3.5613,3.7007,3.0997,2.7773,2.8396,2.1545,1.6562,1.2897,1.0992,1.9896,2.1983,3.2683,3.8655,3.6603,3.8765,3.2316,3.9901,4.723,5.0087,4.8401,5.5364,5.4667,4.1916,4.2795,4.684,2.1688
Argentina,ARG,Gas flaring,GCP,CO2,,,,,,,2.345,2.7959,2.8762,2.8323,2.8103,2.8433,2.7443,3.1291,3.0631,3.9022,5.2837,5.4079,6.2508,6.5989,6.1555,5.1443,5.5951,5.1956,7.1487,6.1883,4.8035,4.7779,5.8699,6.2618,4.7852,4.1037,3.9974,4.7525,5.7377,5.4119,5.778,3.3232,2.1398,1.4949,1.0589,1.0882,1.4473,1.9346,1.4216,1.1578,1.1981,1.4583,1.4619,1.5316,1.4912,1.4693,1.5535,1.8869,1.6488,1.8796,1.898,1.8063,1.8064,1.8064
Argentina,ARG,Gas,GCP,CO2,2.3633,4.0304,5.1076,5.8294,6.4665,7.2474,7.8483,8.2083,9.1417,9.105,10.2812,11.0213,12.4686,14.187,14.9235,15.7222,16.4666,16.9051,16.4257,18.0159,19.5658,20.4854,23.2489,26.2636,27.3014,28.809,30.9645,36.6986,42.2325,44.6092,43.2132,47.2839,48.3025,40.8085,42.677,53.1955,57.5416,61.5039,61.6138,67.6208,69.4383,64.8088,62.6196,69.0701,82.9107,81.9673,83.869,87.1776,90.1197,87.9946,86.9284,92.5874,95.3812,91.3381,92.8439,93.5346,96.3009,96.4419,97.2509,94.8276
Argentina,ARG,Cement,GCP,CO2,1.3047,1.4355,1.4464,1.2538,1.4391,1.6318,1.7227,1.7556,2.0643,2.1479,2.3441,2.7359,2.6987,2.5703,2.6751,2.7145,2.8418,2.9873,3.1481,3.3275,3.5624,3.3234,2.8154,2.8183,2.6185,2.3257,2.7901,3.1703,3.0478,2.2538,1.822,2.196,2.495,2.761,3.05,2.621,2.422,3.169,3.283,3.29,2.771,2.481,1.729,2.28,2.701,3.241,3.764,3.998,3.99,3.81,4.178,4.586,4.184,4.581,4.336,4.571,4.029,4.029,4.029,4.029
Armenia,ARM,Total fossil fuels and cement,GCP,CO2,7.2941,7.5223,7.895,8.4668,9.0044,9.552,10.0875,10.548,10.8443,11.2936,11.8788,12.6098,13.2715,13.8367,14.3684,15.1083,15.6931,16.2301,16.7895,16.9305,17.5998,17.2694,17.5968,17.8517,18.0147,19.4292,19.4863,19.4133,19.9355,19.4961,18.2119,18.92,5.8599,2.5736,2.7147,3.4323,2.5927,3.2662,3.3966,3.0481,3.4914,3.5327,3.0768,3.4556,3.6912,4.3762,4.4016,5.1002,5.5748,4.3633,4.2527,4.9689,5.7483,5.535,5.5599,5.0724,5.1588,5.4848,6.2966,6.0059
Armenia,ARM,Oil,GCP,CO2,5.063,5.163,5.4118,5.7306,5.9741,6.2435,6.5591,6.9093,7.1291,7.4675,8.1612,8.5198,9.0807,9.5408,9.9781,10.4336,10.6586,10.9449,11.4471,11.4411,11.8171,11.495,11.5512,11.4869,11.2296,11.7166,11.8648,10.6779,10.6008,10.3125,9.4776,10.6785,1.7734,0.93934,0.94165,0.67051,0.3664,0.39205,0.40626,0.58624,0.78776,0.77677,0.81608,0.93432,0.91966,0.98195,0.91966,0.92401,1.0332,0.95264,1.0076,0.94165,0.89768,0.85371,0.85795,0.79875,0.80608,0.86837,0.96172,0.98212
Armenia,ARM,Coal,GCP,CO2,1.1626,1.0777,1.0052,1.0094,1.012,1.0262,1.0428,1.016,0.97361,0.96585,1.0327,1.0328,1.0447,1.0321,1.0098,1.0291,1.054,1.0621,1.0299,1.026,1.0908,0.95167,0.96506,0.95326,0.94801,1.1163,1.1612,1.1892,1.2039,1.1288,0.90568,0.46256,0.37373,0.0073386,0.095264,0.007328,0.014656,0.014656,0.01464,0.007328,,,0.047574,0.07328,,,0.003664,0.0073334,0.007328,,0.003664,0.007328,0.007328,0.003664,,0.003664,0.003664,0.003664,0.0039857,0.0053281
Armenia,ARM,Gas flaring,GCP,CO2,,,,,,,,,,,,0.095315,0.089455,0.10402,0.11143,0.12243,0.13561,0.14519,0.15216,0.0821,0.083094,0.079467,0.079122,0.077458,0.076391,0.084192,0.074526,0.069804,0.1536,0.14774,0.093067,0.086578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
